registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
icr.io,cpopen/ibm-ai-wmlserving-operator,1.1.0-main_20210826-44,sha256:1758fce4e580047dd5454d7518ed75d437b35591912f8a5f3cd56dce5667d2c6,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/ibm-ai-wmlserving-operator-bundle,1.1.0-main_20210826-44,sha256:daa0b5c6a5dc0d0b0985350f6ff11fcc922f92629b12404df945b69083ac4cca,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-ai-wmlserving-operator-catalog,latest,sha256:4ecf7a358dadb5e9d6fb33b293883279fef9f458efb059446c2072dfce78490f,IMAGE,linux,amd64,"",0,CASE,olm-catalog,""
cp.icr.io,cp/ai/wmlserving-controller,0.6.0-main_20210826-255,sha256:9c080169cfef4ec088f3189ce1b0bcdc1abe51e3d0b126ad61be5dc2758e8a6d,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/ai/model-serving-runtime-adapter,0.0.1-main_20210826-86,sha256:7f2e485cf0f2bb10031b273b602527312444c076f1f77d3cddf4ded9f7bdcc16,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/ai/msp-ml-server,0.1.0_20210826-4,sha256:acc54d2dcc240c3307e09a0108da943567db082a18ea0e875fb21434a467dc43,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/ai/seldonio-mlserver,0.3.2_20210826-32,sha256:049d941137e78b58e1f1b5a43ef68a5ec92860055b36fec9a4a481719a9e89a2,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/ai/triton-inference-server,0.21.5_20210826-28,sha256:52069acde99443f8af6720575636ebc4c410cf1633d7b51a41c2ccf9914db2e6,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/ai/model-mesh,0.0.1-main_20210826-50,sha256:91d0925590e342afc4b7b9edd560cad27295983d1d3c1dccd7114459a2698bce,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/ibm-ai-wmlserving-operator-bundle,1.0.0-main_20210604-94,sha256:49631523543234c54db91094197044a9436bf3a9a5ad1e2f8c157d7f8e09e4b3,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
