registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
cp.icr.io,cp/cp4waiops/userconfig-service,v3.5.1-20221017.2202-46de7f645,sha256:46de7f645cc855b23c3bccffb04883944cbb0fff86408a04db7736525d62eb19,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/elastic-archiving-service,v3.5.1-20221017.2202-7b59dd31f,sha256:7b59dd31fb95fe8ef9df22e1547b0e42b7710fec99d0ab9d6d5aaa77c01cd27c,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/archiving-service,v3.5.1-20221017.2202-e6822f0ab,sha256:e6822f0abc4838d2544e07c61a444a0e334386dd8b5918afbaae0d242d0c4725,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/couchdb-manager,v3.5.1-20221017.2202-72cfb066c,sha256:72cfb066c212cd6a0b310bd052cde33848a997f2a6f588d0a2ee5a3c78c82066,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/couchdb3,v3.5.1-20221017.2202-66ce396ee,sha256:66ce396ee23d2bea3e8817f7ec1e6fb6167ad66ecfb75e869c32cf628335aff6,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/datalayer-cem-service,v3.5.1-20221017.2202-f63b14eef,sha256:f63b14eef8a4e094df3be3c8901423a206fbce9b5764389487e422349b9ae33e,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/common-datarouting,v3.5.1-20221017.2202-2516e2200,sha256:2516e2200cffd376b83ac4f96f78dc0dd0cbdfaf4c584977c614a62e64d09e4f,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/hdm-cem-users,v3.5.1-20221017.2202-3c71e1bc0,sha256:3c71e1bc0d833de2b32c7d6096257830c78604b899d6ebafe470f21b2f1cd34c,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/hdm-icp-rba-as,v3.5.1-20221017.2202-d6a8ed1ab,sha256:d6a8ed1ab696402426258eb72f227e753eb5bd81330465a77782e7aeffb930a2,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/hdm-icp-rba-rbs,v3.5.1-20221017.2202-faf25500f,sha256:faf25500f518a42c1cf8610df8ba732bad43c83cf659de71e0fdccff91035368,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/http-wait-initcontainer,v3.5.1-20221017.2202-b85792235,sha256:b85792235a3e8ddc0b5459133182192eeb43b66bd036eb836f91e7ce060b551b,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/netcool-nco-g-objserv-bi-ee,v3.5.1-20221017.2202-4ecc150a9,sha256:4ecc150a991d6d701dc8ea4fdf1747bd499321f1f9d48acbe61101a53e72f365,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/netcool-nco-objserv-ee,v3.5.1-20221017.2202-7b14ea9ad,sha256:7b14ea9ad800159821abf0801fb0d5a58b20a851a32b8b8c4d161c3ed714974e,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/ibm-aiops-ir-core-operator-bundle,v3.5.1-20221017.2202-ba6f5ffe2,sha256:ba6f5ffe21b0a6798759ca85c1296c70f73a8fb92ae6a082c3034ac4e9d00414,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-aiops-ir-core-operator-catalog,v3.5.1-20221017.2202-78b693e69,sha256:78b693e69ae9582621461d9915ab3d7361d11eb77d3d027628d94452e8bff411,LIST,"","","",0,CASE,olm-catalog,""
icr.io,cpopen/ibm-aiops-ir-core-operator-catalog,v3.5.1-20221017.2202-78b693e69-linux.amd64,sha256:9b2774f98f6cf5c4231bb4b1f46bf5880e7e09448402218326ea1859d91535d8,IMAGE,linux,amd64,"",0,CASE,olm-catalog,""
icr.io,cpopen/ibm-aiops-ir-core-operator,v3.5.1-20221017.2202-ac994dc59,sha256:ac994dc59ae09f60c4494ec088605cab315457e3d621e044b5a105522b0a9032,IMAGE,linux,amd64,"",0,CASE,"",""
