registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
icr.io,cpopen/ibm-aiopsedge-operator-bundle,v3.5.1-20221017.2202-771956a0f,sha256:771956a0fa592a2d96780b801975c3f2d20dfd60e12a8b5a732e1b4a73b13bad,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-aiopsedge-operator-catalog,v3.5.1-20221017.2202-f47f8562a,sha256:f47f8562aaac5de44267d8c774b6a1d8c6f15417f17ff7ea7197e90b4f5324e9,LIST,"","","",0,CASE,olm-catalog,""
icr.io,cpopen/ibm-aiopsedge-operator-catalog,v3.5.1-20221017.2202-f47f8562a-linux.amd64,sha256:080c0db39542b67784fe6b521b796feb6454f54eb69650e7678523e9c5979d75,IMAGE,linux,amd64,"",0,CASE,olm-catalog,""
icr.io,cpopen/ibm-aiopsedge-operator,v3.5.1-20221017.2202-09c2b8b90,sha256:09c2b8b903458c632c1587110105a4eeb74846de3badde17caca90d0d513de10,LIST,"","","",0,CASE,"",""
icr.io,cpopen/ibm-aiopsedge-operator,v3.5.1-20221017.2202-09c2b8b90-linux.amd64,sha256:bf44b51cf83c3e323cba4809861e84a423b3d9c14bfa119aeb646888d0fcf58b,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/ibm-aiopsedge-operator,v3.5.1-20221017.2202-09c2b8b90-linux.ppc64le,sha256:1015f496d2f0235e79d37d0447ae2f7e0da1e1a337ec1e3db2d2d4f853b16ccd,IMAGE,linux,ppc64le,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/connector-manager,v3.5.1-20221017.2202-11e902c23,sha256:11e902c23dee875764a3ae748298dac913deca616e95f57340fdbf702a722080,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/connector-manager,v3.5.1-20221017.2202-11e902c23-linux.amd64,sha256:941b0f7f5ffcdc84fc3e24cd6c3575c59a7acca61c4bc4bb91a99018aab1ef48,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/connector-manager,v3.5.1-20221017.2202-11e902c23-linux.ppc64le,sha256:97307db7876d814f94cf73e3d18af24d7f4fbc92e8174e0f0e63b06be9d8cc3c,IMAGE,linux,ppc64le,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/cp4waiops-connectors,v3.5.1-20221017.2202-3ccfad520,sha256:3ccfad520f4b5c40f19e187fed7783a99237c6fbe588cde3f7086c9ac179fcd7,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/cp4waiops-connectors,v3.5.1-20221017.2202-3ccfad520-linux.amd64,sha256:3bb38cee8ef578885d764925a8896b1bd8cd4e0fac93f4bc5479122b107d862f,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/cp4waiops-connectors,v3.5.1-20221017.2202-3ccfad520-linux.ppc64le,sha256:b64d7b987bef6d6abfbe49c9a1e6d597d4c4d7c51b6184890fc35ba7da4853f2,IMAGE,linux,ppc64le,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/generic-topology-processor,v3.5.1-20221017.2202-c61043c52,sha256:c61043c52e40f6fad16c63b78fa122462e5453c3d733be9a38201df5f291e155,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/ibm-aiops-bridge,v3.5.1-20221017.2202-c0ace5add,sha256:c0ace5add1482ce242d47cd1ea469d4fb2724878842c99e4fec6a80f8319e188,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/ibm-aiops-bridge,v3.5.1-20221017.2202-c0ace5add-linux.amd64,sha256:c89cbe2de8bd401eb7b2210c5b4cc71d26f39ab31e8feb8ec4de105b9c151875,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/ibm-aiops-bridge,v3.5.1-20221017.2202-c0ace5add-linux.ppc64le,sha256:2f4000e28d473e83c85f97e97d5a01375ae9bc0e8b79a4253d83b17e6dc746ff,IMAGE,linux,ppc64le,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/ibm-aiops-connector-orchestrator,v3.5.1-20221017.2202-8a58e263b,sha256:8a58e263bf887d147a37f34cad09c7093b12ea6c38fbb8f420d9728bfe1a67e7,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/ibm-aiops-connector-orchestrator,v3.5.1-20221017.2202-8a58e263b-linux.amd64,sha256:8bc2607d68f3fe87e786b8a30be229783b93520e8d2f9881a0c5df30f05350cb,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/ibm-aiops-connector-orchestrator,v3.5.1-20221017.2202-8a58e263b-linux.ppc64le,sha256:b016a3e460c63df71f3590752bcd33eac2517499b85ce822b477bbaffc3723e9,IMAGE,linux,ppc64le,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/ibm-grpc-appd-connector,v3.5.1-20221017.2202-6e61e67d5,sha256:6e61e67d5058a537da4161a88750c740a3b6d918e5bcc466652b2a440d89c5a5,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/ibm-grpc-awscw-connector,v3.5.1-20221017.2202-d48f4c5c1,sha256:d48f4c5c18922530ed0ec5d48cb74bafd6f1ae12d09557ee7055ed954932c541,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/ibm-grpc-dyna-connector,v3.5.1-20221017.2202-2646908e5,sha256:2646908e5b94c52f9fb332dddadb6ce1b0aecbc1d674286e1066d08d3d14e97e,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/ibm-grpc-github-connector,v3.5.1-20221017.2202-a077ac8fb,sha256:a077ac8fb9845ed1600e179107cdb99f75117d4f6b6058bb6ccef3e2ae914da6,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/ibm-grpc-github-connector,v3.5.1-20221017.2202-a077ac8fb-linux.amd64,sha256:31f90f51ce56333c6894c2794b3354cc9b0648c1fda2a693a710c59349fea2aa,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/ibm-grpc-github-connector,v3.5.1-20221017.2202-a077ac8fb-linux.ppc64le,sha256:26e2e57d3b619cfa0eedc5922df861ded7913e89d150e330913c4be9c3ef4b19,IMAGE,linux,ppc64le,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/ibm-grpc-instana-connector,v3.5.1-20221017.2202-c86f4e47d,sha256:c86f4e47d47f20396fab756165b5d61daab12b47cfa2c5d14af52ffdcd27db7a,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/ibm-grpc-nrelic-connector,v3.5.1-20221017.2202-d461ea744,sha256:d461ea74463456834c8ea61ab4074147d6a2b5520c01ba83e7be4298c49f2281,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/ibm-grpc-snow-connector,v3.5.1-20221017.2202-67d6fab4d,sha256:67d6fab4d7972c17a06538abeaee28ded172c0de26abcd73c5f6419be1934c10,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/ibm-grpc-snow-connector,v3.5.1-20221017.2202-67d6fab4d-linux.amd64,sha256:e7990b2f47cc8481d3fe20e757f3edb3873fc6c9a00c712a47dad851b7c6af0d,IMAGE,linux,amd64,"",0,CASE,"",""
