registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
icr.io,cpopen/ibm-auditlogging-operator,3.23.0,sha256:c931d2439fd1bd7d7220bfe39510adf89513c7feed4a70256a3ab1667f20bd40,LIST,"","","",0,CASE,"",""
icr.io,cpopen/ibm-auditlogging-operator,3.23.0-amd64,sha256:8b8ff8ded024bc5e729fec09cd1fc6a8aaa52e627463d20f43b68bc87b0bdfac,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/ibm-auditlogging-operator,3.23.0-ppc64le,sha256:5e9bd745048323ce971248e0cc466f51522ebdb084e2310765aff532bb31ab04,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/ibm-auditlogging-operator,3.23.0-s390x,sha256:c211977082df9aaca456f93e7d3a9672071dab5a7e1f2bc188f5c9fc50b8b432,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/audit-syslog-service,1.10.4,sha256:23e3353bef824dffc46bdc29806a8e02d5769056126812452ad2da5a6931537c,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/audit-syslog-service,1.10.4-amd64,sha256:5446ae173eee1dfa1743726842a6bb99ee0ffdcf928650a51c2085f4d96712d6,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/audit-syslog-service,1.10.4-ppc64le,sha256:0d296a81975c2182289e4454e310458464186632c7f388b1c5d1d1e7537b1d98,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/audit-syslog-service,1.10.4-s390x,sha256:6882837ea547b0e08737c64d239ab60084e84c963449c778cc6c65b5791963ac,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/fluentd,v1.14.5-bedrock-7,sha256:8e966fcbb178899b46f7b154bef9af957a0ef44336c983aa3412c7ca8a9455f8,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/fluentd,v1.14.5-bedrock-7-amd64,sha256:9906669f88c257d6c329bd28e7d854d65b2c99db8a3abb8d80f5ac2cd8de8d2b,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/fluentd,v1.14.5-bedrock-7-ppc64le,sha256:7ed5b5cc03fbea0111e3d6d28105d944513f2eba9b13ab0722373ce1b804df92,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/fluentd,v1.14.5-bedrock-7-s390x,sha256:8437ad214d0b49a153daae8a31279ef009bac77f43e0f30c41ab4917d91b15fa,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/audit-policy-controller,3.15.4,sha256:623e9ad3519448595122bd6171988f16516915094e143f01d6ae1da84897299e,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/audit-policy-controller,3.15.4-amd64,sha256:9a8024d015b99671114e50b374ff2b4ead38752b878420bee3ac56e7f86372d4,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/audit-policy-controller,3.15.4-ppc64le,sha256:4803d926d638e00e2fc05709eefec8f9a5ad54172f3d6f83908978df4e07e085,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/audit-policy-controller,3.15.4-s390x,sha256:51a358e56fff7f479fbed16ea545f088c6d1beb6998f1927af091511daa1fc59,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/audit-garbage-collector,1.10.4,sha256:7b068f8f6ddff1c6c2c00ce7c4d69e3152a3c817cb0d00371b009698eba439e7,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/audit-garbage-collector,1.10.4-amd64,sha256:58732588a16180f38690480619ea5783ef0eeed3231b627be85929f7f79ac5e3,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/audit-garbage-collector,1.10.4-ppc64le,sha256:4530e3c4f3565283dbae89caffe2aa0e381038766f6bb39217174fcce7a898d8,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/audit-garbage-collector,1.10.4-s390x,sha256:c02ee8dd3e5091cb0dc643d618efa9fdc25f173ad4624eb53d887aade7785ea7,IMAGE,linux,s390x,"",0,CASE,"",""
