registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
icr.io,cpopen/ibm-automation-foundation-core-catalog,1.3.11,sha256:1d79c6b93a4f2dfcfb37c71b704036d7573e88307e93642bc86360b558a8fe2b,LIST,"","","",0,CASE,olm-catalog,""
icr.io,cpopen/ibm-automation-foundation-core-catalog,1.3.11-amd64,sha256:9c54dcde05bdb6e5745e73e56382ea49054587edf50579cf9fe4f5dd283547d7,IMAGE,linux,amd64,"",0,CASE,olm-catalog,""
icr.io,cpopen/ibm-automation-foundation-core-catalog,1.3.11-s390x,sha256:8f1b91010d9aae5a103c9b4e372aecf46766a128c30b202e53e39a31ffed571f,IMAGE,linux,s390x,"",0,CASE,olm-catalog,""
icr.io,cpopen/ibm-automation-foundation-core-catalog,1.3.11-ppc64le,sha256:9a86fb1cd6fa9e1e35e3232c17b2c1772e94b788cfa17e61231390c753ab4932,IMAGE,linux,ppc64le,"",0,CASE,olm-catalog,""
docker.io,ibmcom/iaf-core-operator-bundle,1.0.0,sha256:9c05f7b22b63216a06760ccb291b040a0e57e3dee294cfb6070648fbd126c988,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
docker.io,ibmcom/iaf-core-operator-bundle,1.0.1,sha256:4a64a2f0b065566582618f5a66714e7c7c0ed4ce9798929f8350d8dadcb47f12,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
docker.io,ibmcom/iaf-core-operator-bundle,1.0.2,sha256:521c29fc19dbd3a09f3d106dfda9fb9dd47b122b008d85fd496f2420c998a8f3,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.1.0,sha256:24bd2fa4fcb579c20d5a7f92db889cb3710f2f708cb09c4077e7b370e03c1174,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.1.0-amd64,sha256:848977a8f59d4771a8b582221b4a3d2285d78db09b651724bc9fdd1321447ded,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.1.0-s390x,sha256:d5e247d7535e65c75678cda52844dc008ed41ef333b5f6cdb98cc0ed035a0503,IMAGE,linux,s390x,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.1.0-ppc64le,sha256:344c9b392aa9cd7b1a622096ef7b6f16b7e1990e3ad1ec52fc1c5c8adfa1bf7a,IMAGE,linux,ppc64le,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.2.0,sha256:fb4f281361ef57db2a0b8856fc34f907350fdaef01833767222a1bb2faca3dfb,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.2.0-amd64,sha256:705d4eba95936e24afe4e2a652196f9cbee54f2ab923c289a1aa6ed3f807da2b,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.2.0-s390x,sha256:a22ca16e3d4efb9d34eed9c642fc93eaa3a5b35bf5e183bfba552f7a92afc1aa,IMAGE,linux,s390x,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.2.0-ppc64le,sha256:3a85415fc55836fc6643dd244a7da3fe05a404e4a3d2b827f1375495fd677436,IMAGE,linux,ppc64le,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.2.1,sha256:7ce07aebcc023b84d1d24900dbb01f2a9680162b2c1c45d031c5d92fcef9deb3,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.2.1-amd64,sha256:2d4d93536ff5d30606b16d11a44a5e69119f889657069e9e4986439ad221323b,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.2.1-s390x,sha256:b1148851ac3a7eebfd3f2376aa934eff0d700b4d21cfeba8c7f98281e0ac3ba3,IMAGE,linux,s390x,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.2.1-ppc64le,sha256:87358a527d4aaa14657070ef2871d23b8c708cc6e5324b855c21a9c3b0ea9a4f,IMAGE,linux,ppc64le,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.3.0,sha256:cb07e180a72f2db3af156c0738a828554882f883ab2480a37dd14f40a981f035,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.3.0-amd64,sha256:76f384a0d213fe1b6fa6ca9f322ee258f9fb34e1c8e91f568bb9bf4b5825640e,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.3.0-s390x,sha256:1df3bbd029944cfaf2fb4126ea86e25b249c32ffa6fad3495134added57c2457,IMAGE,linux,s390x,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.3.0-ppc64le,sha256:e6fc3e56eb25231a8be4992ef0573654d66c25946b5a4ba07018406fd06f39ca,IMAGE,linux,ppc64le,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.3.1,sha256:88199cb67cbee11660adabcff68a7da38687eeeba451117f3487302cae03e09e,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.3.1-amd64,sha256:a20088e1905a376aea44d0517cec86f57eb653ac2173b976c155408bc3159d38,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.3.1-s390x,sha256:8a32d91683326864bd018c810534dd218665b58b7c50843c33600b0640a21597,IMAGE,linux,s390x,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.3.1-ppc64le,sha256:bcec121355a3733fae5855c9950023b810da225f60c767ce4e7c1c2f2811f744,IMAGE,linux,ppc64le,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.3.2,sha256:a91392c5aa856aef81f1dfa8906af28d9e65dbd1508a6f92edee0c6ca6c4876d,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.3.2-amd64,sha256:6d1a0e0a85e461bf864e66f3dc7d222c649788c91530e996df9ef43783bc3794,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.3.2-s390x,sha256:1f9bfbcdece9b165f7575e0572e447fa17181180e5043a83e854f5ef4ad60ab6,IMAGE,linux,s390x,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.3.2-ppc64le,sha256:526f544635e0910c438b52095cd90ba1d2a16e01af0b404d68eaeac869e4be3f,IMAGE,linux,ppc64le,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.3.3,sha256:386d6ee4b7b24edea8249460fa39ce1b61e0a778bcd658f1371ccf20caf95d9b,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.3.3-amd64,sha256:ee04389c805d231bacd46aebbe75c7cb905487642e8777a69f0e4e2a8dfec3d4,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.3.3-s390x,sha256:a61db15bf00e48e522f10ddb8ac3783e171de922efb2e8f4c5ff6b92291afc9f,IMAGE,linux,s390x,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.3.3-ppc64le,sha256:d9e61bf8c5d1c2ee9a1c55daf3942c91f314585bd1e247663ef53d654c6dee5a,IMAGE,linux,ppc64le,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.3.4,sha256:1bced36864c9d570cb101c0eb635278df75c25e58b14455ff05ca8d86dc74dbf,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.3.4-amd64,sha256:bbd41f47642384132fad55dda5414e976a8d6f38202ba48eb632d32f5d05b694,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.3.4-s390x,sha256:17912472ed02df71e32b0f0ade38b958ec2513aa9cb73244e4e71411576dda00,IMAGE,linux,s390x,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.3.4-ppc64le,sha256:977635596a182430598b258edb005b3371b31a629fa13127889cf1b5fb15d229,IMAGE,linux,ppc64le,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.3.5,sha256:0665a41c56692b74563e77525e367657fb4ad12b174aed118b7530c671c56088,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.3.5-amd64,sha256:2c14ba4d29fdd5e826679f6fe7e34477b2956f2c7527551383bf01b67f9255c1,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
