registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
icr.io,cpopen/iaf-insights-engine-operator-bundle,1.0.0,sha256:fdd0bf19716a979f674c729002bafa731baecf19fbb82c237743859dced2c8d1,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-insights-engine-operator-bundle,1.0.0-amd64,sha256:263c7cc07893012e4cdf464b0957fbc58ebfcaaac36133916c4b85d14a52e07b,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-insights-engine-operator-bundle,1.0.0-s390x,sha256:795ad6d273ea24606bb1f20ca6b8e646def6a49e991533ff7850ec81ada76617,IMAGE,linux,s390x,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-insights-engine-operator-bundle,1.0.0-ppc64le,sha256:ef32be9776c11e356996efe5b58a114c7696ffc1c2e2d843f3cab01a77280e94,IMAGE,linux,ppc64le,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-insights-engine-operator-bundle,1.3.1,sha256:91c649590e58520c2f68e9b804c093b8a3d7b143a9658abfe36ffa6337851433,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-insights-engine-operator-bundle,1.3.1-amd64,sha256:e2f679d3d0846c605cac44d53b7d434b28fe892ba60352c15e865b18f0fc87c4,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-insights-engine-operator-bundle,1.3.1-s390x,sha256:79288da454dc80e0555e4a1c1a81ede9bb7aebb75e7856563347d797193e4815,IMAGE,linux,s390x,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-insights-engine-operator-bundle,1.3.1-ppc64le,sha256:919dd7975278306eec590f8606050b6e73b68bed5a8dc23567ff074d3472d4f1,IMAGE,linux,ppc64le,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-insights-engine-operator-bundle,1.3.2,sha256:cdb5242c20f71fb3aad6b1a5f73727333693b7640f6832f3a68bc07bf8a61d92,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-insights-engine-operator-bundle,1.3.2-amd64,sha256:21dff963dc9e03c02307cb385415cd4194a6c7e8d86b1fcb649229c6d840a53b,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-insights-engine-operator-bundle,1.3.2-s390x,sha256:6da8eae6973973777a73a1ad1b0638fd5f5c56cabec106206bc2222dac0e9414,IMAGE,linux,s390x,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-insights-engine-operator-bundle,1.3.2-ppc64le,sha256:50f7f174d6b2988730612c7ee71af11c4c0042f44414a9ed5a295d388674589b,IMAGE,linux,ppc64le,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-insights-engine-operator-bundle,1.3.3,sha256:95d0c41f98cedbf137cc9410cb30d5f089704e176f21d13905cdfbefe4f9070a,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-insights-engine-operator-bundle,1.3.3-amd64,sha256:005a641627771807960877809571a155a27c8d8a225533cde438c8149336e733,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-insights-engine-operator-bundle,1.3.3-s390x,sha256:494d1ea99e793664fad7d1b5d1000cc942b31f75532d162912360fd47fe3c97d,IMAGE,linux,s390x,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-insights-engine-operator-bundle,1.3.3-ppc64le,sha256:95f2e27acf53400dadf6be3a245b58043edb43fd6ba85affe922e2e3cf39122b,IMAGE,linux,ppc64le,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-insights-engine-operator-bundle,1.3.4,sha256:6f777c7c7ebcbdd512a52e9290f2324a35438a3fe40fe4a65f5ec9908bf0af14,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-insights-engine-operator-bundle,1.3.4-amd64,sha256:e518b826d3b9535f73faac98edbff0f9e4a0989dd70d3d124305c09319be2ffb,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-insights-engine-operator-bundle,1.3.4-s390x,sha256:45364f62cb494cbed20426c0170fe349f8b5b97c204f8d3e93472268e7e951bc,IMAGE,linux,s390x,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-insights-engine-operator-bundle,1.3.4-ppc64le,sha256:e3d6acc6064caa088f33462a7a1089bb8688a873b107bba03eb0dbc755c1598b,IMAGE,linux,ppc64le,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-insights-engine-operator-bundle,1.3.5,sha256:383259dc6d7b816e745d4317e8be1b187c10ec3c5caf8c75644917e5c021e39f,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-insights-engine-operator-bundle,1.3.5-amd64,sha256:399053022e352d5717c94169862ab53daec37d53f2825648e890f05c6d5da0d8,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-insights-engine-operator-bundle,1.3.5-s390x,sha256:55d4b7edebf15e6a4c13cb4c1e829d094149aeeaff7973db4db217fc58dc28fd,IMAGE,linux,s390x,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-insights-engine-operator-bundle,1.3.5-ppc64le,sha256:c52182e555a4e489c3a069442f12a251e69c106629d6c4335038b48a508d8328,IMAGE,linux,ppc64le,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-insights-engine-operator-bundle,1.3.6,sha256:67dc6df1e541459b4d998c02d62eb9c99f20f16e9f89484bd1cca889cdf8a4c3,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-insights-engine-operator-bundle,1.3.6-amd64,sha256:d30c5680e6c54ea6489379ac83edbface097e1ed64fc4418ba3a7046a7a9e2d8,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-insights-engine-operator-bundle,1.3.6-s390x,sha256:0ed9df562a3d259c8b34559f4a7c549c4f8c482a3590f81c0732acc364053797,IMAGE,linux,s390x,"",0,CASE,olm-bundle,""
