registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
icr.io,cpopen/ibm-cert-manager-operator,3.23.0,sha256:6ac8788abb5af58ac40e6ae31805fcf6f49b5f6e4556127cb43c9b0fe876851c,LIST,"","","",0,CASE,"",""
icr.io,cpopen/ibm-cert-manager-operator,3.23.0-amd64,sha256:dae66da09c59e451052e14bf0ab9f19317b13fc12c311fff8a045e9de3b3a24b,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/ibm-cert-manager-operator,3.23.0-ppc64le,sha256:4afa8d2f1efa44d278b244df05d3fcc48523abd9da4c2589a2532a51c0afff82,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/ibm-cert-manager-operator,3.23.0-s390x,sha256:f88978345a11010ee83872a69db38b6c65d5663340ebf21ba595f9b1bb4ca63f,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-cert-manager-controller,1.9.0-jetstack.1.7.1,sha256:72a058c3cf969a1fb4236d296ffb641b2cdd73191d7f251e23889967ec08f7cb,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/icp-cert-manager-controller,1.9.0-jetstack.1.7.1-amd64,sha256:351d50c155238e71f82520b7d2b02a2b1f6cec2af7624abf11c2949235dd61cf,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-cert-manager-controller,1.9.0-jetstack.1.7.1-ppc64le,sha256:ce27271e11abda85a95efd6f6012d3739ff7039934df133adf62ca8904b7bcb8,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-cert-manager-controller,1.9.0-jetstack.1.7.1-s390x,sha256:c60f1b81002d0262237214c38ed129e05f610603ff6a0b24d42606470e4efb5c,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-cert-manager-webhook,1.9.0-jetstack.1.7.1,sha256:57b2b1b002c12917afadcf4c7fd620dfa870812653aeed6c29b70b041c7279b6,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/icp-cert-manager-webhook,1.9.0-jetstack.1.7.1-amd64,sha256:b7f8a5188cb0b7b70e8f5f2b04846c6ae23055cbca10863fd2d37f7bae28fa97,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-cert-manager-webhook,1.9.0-jetstack.1.7.1-ppc64le,sha256:5a92737490e8fe5844552d462c3875ff4d73905c95784e4d0223bea6ccdc8214,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-cert-manager-webhook,1.9.0-jetstack.1.7.1-s390x,sha256:b0e4bc04e15d8e8fad353d998e938d52971851959ac4797b1796286803be14e8,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-cert-manager-cainjector,1.9.0-jetstack.1.7.1,sha256:52fd129664ef11647dbbdbbc8189e1cf7ae7d4a7e3df735234e19c6458342d0a,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/icp-cert-manager-cainjector,1.9.0-jetstack.1.7.1-amd64,sha256:2b94278399ef7af34fdfae61f694f481e291d803e88780011b242256157c4b50,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-cert-manager-cainjector,1.9.0-jetstack.1.7.1-ppc64le,sha256:85f4e60221190ecd969a5043dfa5998dee23c0914ea65cf7ab0d8ca38451ec22,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-cert-manager-cainjector,1.9.0-jetstack.1.7.1-s390x,sha256:473be6536fe23619cf217ca31eb022e48525f952980f1e3b5b5aaf735269a28a,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-cert-manager-acmesolver,1.9.0-jetstack.1.7.1,sha256:6246736ed7ddfc2e1da0a9d266976dd8e54362c3ec386ae70d8b95ba3a495dc8,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/icp-cert-manager-acmesolver,1.9.0-jetstack.1.7.1-amd64,sha256:2baee45ef83bc29b0582c405eb6ca2c97f00b569959ffc44f6253f86e92f8a3f,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-cert-manager-acmesolver,1.9.0-jetstack.1.7.1-ppc64le,sha256:717d284e1c4218f0d6c8c9aae3f49aee59ba51da1415b3c7499e4ecd53d5fd9d,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-cert-manager-acmesolver,1.9.0-jetstack.1.7.1-s390x,sha256:1e07d6ca9e4caa6821ef84eed137398b011dbcef2db063d06725ba41e29ec30b,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-configmap-watcher,3.16.4,sha256:ce1a661f30bb6f2835bd30abfcda01204f7e0d39ef7d3566a16bb3e09a486859,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/icp-configmap-watcher,3.16.4-amd64,sha256:790a85ad0c9f20b118cc017e75455b3ce0f0d14d49e279175f8212ee9afa211a,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-configmap-watcher,3.16.4-ppc64le,sha256:7065ed8f328ce820433bbb2ddb1df916e3e5ba218f33685dd2ec700ae98b59c4,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-configmap-watcher,3.16.4-s390x,sha256:06e8ef825dcebb39f185d71f17a1a4b2d20bbd18bf380963c95445845b7392f5,IMAGE,linux,s390x,"",0,CASE,"",""
