registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
cp.icr.io,cp/ibm-cloud-databases-redis-operator,1.2.1-amd64,sha256:18a5f072bc1e7d5bc2eaa23faf62b884b424db850cadffe521874c6f5c5edad8,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/redis-db-5.0.9,1.2.1-amd64,sha256:b7669901721ba4c24178d33248a5bce7866aba3c6b1f1827e1a894eeb0c1a114,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/redis-mgmt-5.0.9,1.2.1-amd64,sha256:2cd5300637ad1d3731d01dc62c42f637bfe1219f136ec8017a35d722b91fe661,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/redis-proxy-5.0.9,1.2.1-amd64,sha256:4f305b5b5bb20169dec87f750851990ac5317df2f393dd8e2780fab8115e9a7e,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/redis-proxylog-5.0.9,1.2.1-amd64,sha256:f2cc73fa4d85f2dc25ee6e245fbbeb22a1e5a3fb15fd8128a562e75b10d8bcc6,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/redis-db-5.0.5,1.0.0,sha256:978cf09ee9ffcf4317a0a4d99f0332735f988ba04735b0169461f40a41d9e672,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/redis-mgmt-5.0.5,1.0.0,sha256:16827306b60e1e3d76cca8daee0f16c43119f714cd89c37ca3a9b37628747b45,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/redis-proxy-5.0.5,1.0.0,sha256:dd5234b95376f974fa9845a066b0fe8b80e64c7a6df9e2f7c6da21c9156a7d75,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/redis-proxylog-5.0.5,1.0.0,sha256:c9494a21a2e0bbdd5abc070eb418e159e0ac5c40ee9b64d82c50bd4442138a7e,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/redis-db-5.0.5,1.1.0,sha256:cca54715bb1cc7d03aeb45c7a0b9a94fbf52f4cf8f483bd5b9ab6ff97ef0d443,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/redis-db-5.0.5,1.1.0-amd64,sha256:d20a02a0916475d92c2ef47175ffec9654ecfa4f6449cf08ce845e21a2603378,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/redis-db-5.0.5,1.1.0-s390x,sha256:aae9b5eef9a88c7b3d184ec8d1990d60fb5fb6f9a14d775920c9a88bb09fe146,IMAGE,linux,s390x,"",0,CASE,"",""
cp.icr.io,cp/redis-mgmt-5.0.5,1.1.0,sha256:9685553903409dd41b31489acd4443ce92151e80e19a9ff197b6df3bfb1d6b74,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/redis-mgmt-5.0.5,1.1.0-amd64,sha256:b872946c5a30fae2992cbcd35258a9daf33a76835accac80b88c66837200cd84,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/redis-mgmt-5.0.5,1.1.0-s390x,sha256:bf1eed306baa98ed411dc7c8986a2513a6dbf74b7dab47f9d517994e14a33b5b,IMAGE,linux,s390x,"",0,CASE,"",""
cp.icr.io,cp/redis-proxy-5.0.5,1.1.0,sha256:19c7f2538b415142a3e6d19c50221968519fcee6b927be98ddc49fd2bc02d2f7,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/redis-proxy-5.0.5,1.1.0-amd64,sha256:af5b1693370e3c8576bf32419bf515807197718a35c6b3e08968354367206b61,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/redis-proxy-5.0.5,1.1.0-s390x,sha256:6e9aa545183e06473e870b0e08c7bd04b584cbc6cf52ce8fadb2721783c674a3,IMAGE,linux,s390x,"",0,CASE,"",""
