registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
icr.io,cpopen/ibm-cpd-cloud-native-postgresql-operator,1.15.3,sha256:dcab0da73a06c939cc402adf8657f0729d8a3b500dd5586c317f2038a4157468,LIST,"","","",0,CASE,"",ibmEdbEnterprise;ibmEdbStandard
icr.io,cpopen/ibm-cpd-cloud-native-postgresql-operator,1.15.3-amd64,sha256:86f09131946033fc0f85d9b5f13e4bbeea1121758977c5d9815e3b7da423dc6f,IMAGE,linux,amd64,"",0,CASE,"",ibmEdbEnterprise;ibmEdbStandard
icr.io,cpopen/ibm-cpd-cloud-native-postgresql-operator,1.15.3-ppc64le,sha256:5c48228374edc94a0419bc75fe875a33c8bd2cb31f4fb2818e16917a3be80561,IMAGE,linux,ppc64le,"",0,CASE,"",ibmEdbEnterprise;ibmEdbStandard
icr.io,cpopen/ibm-cpd-cloud-native-postgresql-operator,1.15.3-s390x,sha256:95c9f6b4d8c471978d52e0d96670da74b7a1e69750ffd35ae670b0c16959c73a,IMAGE,linux,s390x,"",0,CASE,"",ibmEdbEnterprise;ibmEdbStandard
icr.io,cpopen/ibm-cpd-cloud-native-postgresql-operator-bundle,535,sha256:b6800ba3a3b44e954e93eabf58e291623377405b9f869da84a905e0b618d5fb6,IMAGE,linux,amd64,"",0,CASE,olm-bundle,ibmEdbEnterprise;ibmEdbStandard
icr.io,cpopen/ibm-cpd-cloud-native-postgresql-operator-catalog,535,sha256:7095e3e919fabea5a27fd21c2ba949ea0bf4a2f44010f1ce01a51830ec61e0bd,LIST,"","","",0,CASE,olm-catalog,ibmEdbEnterprise;ibmEdbStandard
icr.io,cpopen/ibm-cpd-cloud-native-postgresql-operator-catalog,535-amd64,sha256:67a0e0ba74db0f6db12b3d833d050783da4425a10e44fafbbf3fb8b6b3c48786,IMAGE,linux,amd64,"",0,CASE,olm-catalog,ibmEdbEnterprise;ibmEdbStandard
icr.io,cpopen/ibm-cpd-cloud-native-postgresql-operator-catalog,535-ppc64le,sha256:1869103e989a37a478d4cb2b9e5287bbbe901316e8bd48c3503867772d99e3a2,IMAGE,linux,ppc64le,"",0,CASE,olm-catalog,ibmEdbEnterprise;ibmEdbStandard
icr.io,cpopen/ibm-cpd-cloud-native-postgresql-operator-catalog,535-s390x,sha256:9a3e8bdb47c92b63cdbed53b5b3d0a71b82f7048c2a6b30355266ac7cd8245e6,IMAGE,linux,s390x,"",0,CASE,olm-catalog,ibmEdbEnterprise;ibmEdbStandard
cp.icr.io,cp/cpd/edb-postgres-license-provider,479,sha256:4a867d069fa2b395d6370b24f414dc27f18aa3104669a43d7b4948c65d6e669e,LIST,"","","",0,CASE,"",ibmEdbEnterprise;ibmEdbStandard
cp.icr.io,cp/cpd/edb-postgres-license-provider,479-amd64,sha256:9ece9402ca10779a8c0abcf7492f727db49fbb852a5bbd80aa9711866aa8e476,IMAGE,linux,amd64,"",0,CASE,"",ibmEdbEnterprise;ibmEdbStandard
cp.icr.io,cp/cpd/edb-postgres-license-provider,479-s390x,sha256:8d3f2a52b411d44e9e149fda25ad009578f9f7c40a9bf27eae3ed17e1ac528af,IMAGE,linux,s390x,"",0,CASE,"",ibmEdbEnterprise;ibmEdbStandard
cp.icr.io,cp/cpd/edb-postgres-license-provider,479-ppc64le,sha256:5674a73d2cf9c7d96e8134dbdb930a37dab657babf431212292f1efcd2280613,IMAGE,linux,ppc64le,"",0,CASE,"",ibmEdbEnterprise;ibmEdbStandard
cp.icr.io,cp/cpd/edb-postgres-license-provider,255,sha256:607231e7337608278220853bd0bb04002488a6e74d4418752b1720133daef036,LIST,"","","",0,CASE,"",ibmEdbEnterprise;ibmEdbStandard
cp.icr.io,cp/cpd/edb-postgres-license-provider,255-amd64,sha256:d7d4967a567972dc6dbe59b772c89e619d1ae9bdfc77d72ce5b3de394d2b5d03,IMAGE,linux,amd64,"",0,CASE,"",ibmEdbEnterprise;ibmEdbStandard
cp.icr.io,cp/cpd/edb-postgres-license-provider,255-s390x,sha256:e304904c0bf363f40b395c78e99d488273bd2f32cde61b8c34dbb10b33f04aa0,IMAGE,linux,s390x,"",0,CASE,"",ibmEdbEnterprise;ibmEdbStandard
cp.icr.io,cp/cpd/edb-postgres-license-provider,255-ppc64le,sha256:7ed50a15eca182caa0cc9238eb8d10abc0124448622eae17d3d59b1e3151c0b7,IMAGE,linux,ppc64le,"",0,CASE,"",ibmEdbEnterprise;ibmEdbStandard
