registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
icr.io,cpopen/ibm-cp-automation-foundation-catalog,1.3.11,sha256:50f66cab9a8284869dcaa1cde4c6765458203fd32962f2ccee606dfd4b5e2b52,LIST,"","","",0,CASE,olm-catalog,""
icr.io,cpopen/ibm-cp-automation-foundation-catalog,1.3.11-amd64,sha256:b075c556df2bc2b57cc2d76fafc055cd72616c5b94a5d2848125cdc1bc294f16,IMAGE,linux,amd64,"",0,CASE,olm-catalog,""
icr.io,cpopen/ibm-cp-automation-foundation-catalog,1.3.11-s390x,sha256:850da63c31cb424c7d4a7e41e38ecf1a34b6f5b1a4b6bd079407faed768816f2,IMAGE,linux,s390x,"",0,CASE,olm-catalog,""
icr.io,cpopen/ibm-cp-automation-foundation-catalog,1.3.11-ppc64le,sha256:5e3fec70c575974a619d55c165ab87d4ac6c016564cd408b217b44a1dc28293d,IMAGE,linux,ppc64le,"",0,CASE,olm-catalog,""
docker.io,ibmcom/iaf-elastic-operator-bundle,1.0.0,sha256:0cdcb3c3e07540b6d25836a9f8ae142d08a28168ffc8df3a6126f098252cee3e,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
docker.io,ibmcom/iaf-elastic-operator-bundle,1.0.1,sha256:bf573c5712d13acb86f023ada4972fdd2f51773f5c4e38137902fb4e66438a2d,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.1.0,sha256:0858b00f007a9eafc8c2f945a5f9922949e29d023dfca2cf7a6ed38781da3efb,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.2.0,sha256:2c3bcc4a6d3723b48bcd00ccbe1440a94f39668a4d9cf3426073571a9de5cc2a,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.2.0-amd64,sha256:7683c3191d51f673b75d90f14f17a2833dcc1643450a3494bc7499990a42d0ef,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.2.0-s390x,sha256:6e68ee57ddb0a53c54ffa594a6266ca1d3a423d551976448acd6ce3962abf9c0,IMAGE,linux,s390x,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.2.0-ppc64le,sha256:311131e675f08c1fac33c65a0297686c1d7d43822120340193c4ba22c0a706db,IMAGE,linux,ppc64le,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.2.1,sha256:aab6225a92ebc4ea940348435537dc6419485c2d43df98b330a1bce9f90023e0,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.2.1-amd64,sha256:330b0fd220e810cb467cbd191de6c88630f9729fd836773eb36175fc51e5dbf5,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.2.1-s390x,sha256:a4ff28925d96f26732b8096c131c59ead4c0f3390ce3a50f244b74c0148df71a,IMAGE,linux,s390x,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.2.1-ppc64le,sha256:7bdd7fc438204b65eee3dd358b795d309c75d8e451444fa0a4bfee44875b6856,IMAGE,linux,ppc64le,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.0,sha256:2ce722e0870b2d01b7554df9e84d0944936fb5c371304bee21bed3ef3356e3f0,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.0-amd64,sha256:5bb1ae4576adb1ee93aafe45262ced54a1eef8bb64b86ddc125932d9fb85dfd1,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.0-s390x,sha256:2aaeee2ed7314989ddd755a723b0015dce551cc88a364ebf02efbdc99b934309,IMAGE,linux,s390x,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.0-ppc64le,sha256:a43ba273f25636eb45ec4ccd4325ce4771c4e63f17001f927b58a61c062f24ac,IMAGE,linux,ppc64le,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.1,sha256:d02c77e068743c50d5a41063101fa1ef5a67e74a05a1e2c6bb930da636853c29,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.1-amd64,sha256:3fe35e407d4a8c794028b98ec631452b8dacf2a3ce0f0889d14481bd6fe30541,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.1-s390x,sha256:7b7f66f3a6b93e6191f8b09e7d0977635810ad2e157ad3d4f3ab8cd1318bed5b,IMAGE,linux,s390x,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.1-ppc64le,sha256:50c0896a4fb5f90feca1dbaca7a44fa514a21fddc11e69f4e221bced4f9423a4,IMAGE,linux,ppc64le,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.2,sha256:f68639d726f3294e3a97da2bbe830aebea44097051d3b36ec38c1d40679437ab,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.2-amd64,sha256:f86780293dc8192a5ed0a69d5d473dd2a58737899e59f39a7ab57f4bbb74a1e6,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.2-s390x,sha256:e4c36ed230b0fdc7d6892afaa5dab3f60a690fd46a8af59e5d04325111444173,IMAGE,linux,s390x,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.2-ppc64le,sha256:cc02910983968ec6311e2b31e04a3406b48c0e5474e7eae10e9397be38163736,IMAGE,linux,ppc64le,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.3,sha256:031a4afb7874fd8626c16348b8a2bbe8fd5c496a1359c37de9e48793f03f333c,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.3-amd64,sha256:3856193aba150d11f40d831e208c99109dbb11466ca770c8be45ad8b49ec563a,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.3-s390x,sha256:407167c8758d26396d84d825a04e857c7f7472cbde5f8281504b03861e12042a,IMAGE,linux,s390x,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.3-ppc64le,sha256:82b3fff598b1171da574fb4b97ac58a50758c1d4c37bea4bc74a2f56ae48640d,IMAGE,linux,ppc64le,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.4,sha256:e755b28ca52e32f8b3e7ac44817a9991c1fee639516a38f2bba8fad25494d208,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.4-amd64,sha256:3d32dd61a31cf359dfe2c648b3221eeb2ede6655b62e3ca327c89a4e2b326ac7,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.4-s390x,sha256:716068d966c1af7360dbabbed2558becd4ef9c667af4164bd18ac0a7a2035f84,IMAGE,linux,s390x,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.4-ppc64le,sha256:557c061d0ddc5e00ae99dd8a71ed18b42ea8ba853a7ccf30e37ac214dc5345d9,IMAGE,linux,ppc64le,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.5,sha256:201e4932eabdf8baf40bfe391aff90391129b1fb1cf8d1dc2d489224fbcdd060,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.5-amd64,sha256:5f048ac8763d23db8cac25d045a7c6b3f6ceadf8c52d91004d571d79061fc108,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.5-s390x,sha256:8ecabce92b3a89306e4b79a1d0e801ff3008ab66a76228d87019b116acca5501,IMAGE,linux,s390x,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.5-ppc64le,sha256:ff5dfa90ed5e9de4c239c8fcac5da6f348a22cb391ef98fb218fcdcff3fb5a07,IMAGE,linux,ppc64le,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.6,sha256:1a6c12d48041e19fba74bd2be54cff3c0f9415d382c691eb60176313de2f116d,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.6-amd64,sha256:2d2d82d3e9d641c91cef44948d772833d1cfaf0003c9b5de0c4fa9b11513595d,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.6-s390x,sha256:e661eeef547e2ed408cdc74cf14680acf6fbbf9a53c26dd12752091da2d9f595,IMAGE,linux,s390x,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.6-ppc64le,sha256:4afa26b9197664d640c68ddc81135f46dccbe6b27a35e6c6bfa3445fd8d51f28,IMAGE,linux,ppc64le,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.7,sha256:20555aa79f698e987b3179602089a829092ab6472657bac75c610778371bf87b,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.7-amd64,sha256:2d28f6a29510059554aa5c3214e516ed4f90b32c9fa1654a7f593b375b0bf2e0,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.7-s390x,sha256:f7d4012153e21033149b0bf3f41c42056c981bf360062da75d3cd68e07049764,IMAGE,linux,s390x,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.7-ppc64le,sha256:f0aed50170e2600ffe11647c0fdc1dbcb31a1b1addde1ea966015b00eb710ee4,IMAGE,linux,ppc64le,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.8,sha256:e4f746e61fa78a74673b5b90084a40e4f2612039fe03a9cc821b1c6cde011328,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.8-amd64,sha256:df44525a3993b5df46c90603b59749a1995a8ebc0d3c798be4958f2789013333,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.8-s390x,sha256:f355d7e27d64caae8718fb286376c7643bcf84be4a2085a466189963f77103f8,IMAGE,linux,s390x,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.8-ppc64le,sha256:34a193cf7d12a7b4b88339d7eb0dd63ebabd6c2412cd1e2d718924ff25ee5408,IMAGE,linux,ppc64le,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.9,sha256:eff8b49487791dc182030487dbe941fba91c9fcb15b62d03604448a43585a69c,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.9-amd64,sha256:07ec0d45ca33013445d5a7c0aa1e52a5d62d745bfe01c07007179ca6315aebfc,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
