registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
icr.io,cpopen/common-service-operator,3.21.0,sha256:0a215328517230a932f35f1748540afdae6f2931c3893c3bd8662f21faf967e6,LIST,"","","",0,CASE,"",""
icr.io,cpopen/common-service-operator,3.21.0-amd64,sha256:e556154291c2b3422650f84ac8194fb14b92ccdd774de205881a10f3188ac305,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/common-service-operator,3.21.0-ppc64le,sha256:25f014d6fd9714d3559d1aef5bc53e3df3a416b0329f09587921c7cba9d9bb92,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/common-service-operator,3.21.0-s390x,sha256:ff0a3abd1df0b12bef50d50093ff79fc766f7de6b6dc692974c39ecd9196bbb5,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-secretshare-operator,1.18.0,sha256:d8c526c65adb5d315bf582dbc8a9b17ac92d44cd35eb402bf7430a375d41dab4,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-secretshare-operator,1.18.0-amd64,sha256:6ee13ceab7c6da9026ab4dbb34ada7cc648864439c53c24801fbdc97698929a1,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-secretshare-operator,1.18.0-ppc64le,sha256:ae57a56bb192c39de28eca918b4f9d3354fe11f802c0d2162e7f1b42e20a1a88,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-secretshare-operator,1.18.0-s390x,sha256:fa95ccd59a4fbc58d9bc2471a372919f9fb81fcf268223a37539efdbe0cae60a,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-cs-webhook,1.17.0,sha256:73098a916750aa4b9b1ffafcbdf712106d0257af6c9c1998528040f2f5c94812,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-cs-webhook,1.17.0-amd64,sha256:be3eab48bb6a5d11e550a764433602908d2a56ac22b47135edfe6e21b7311964,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-cs-webhook,1.17.0-ppc64le,sha256:1cc814597062cf3f80a10bc422968e40c77088252514fe5361fd4fff52ea73c0,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-cs-webhook,1.17.0-s390x,sha256:543e587badfe7e445e5962dee22ca4546cbe4c97363eefead79f1b6c707f0249,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/ibm-namespace-scope-operator,1.15.0,sha256:022f70007de03d271d1c86eb49a2a3c58a84dd2647d6cc6cd2cff8964a3c6277,LIST,"","","",0,CASE,"",""
icr.io,cpopen/ibm-namespace-scope-operator,1.15.0-amd64,sha256:9dd76803f6aa9e4fc99a3a8b04aafa5096f16934e4268bec097e64171636cbe7,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/ibm-namespace-scope-operator,1.15.0-ppc64le,sha256:8399e1c8f023913857f67e24799f1871ca7e75ae171ff2ad8b243e78181a3d18,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/ibm-namespace-scope-operator,1.15.0-s390x,sha256:289694e5ff1adaeaf98856b2904a79a5c5a814b30cd4ca88dcdc74b4ef8518ac,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/ibm-common-service-catalog,v3.21.0-20220916.000000-000000000,sha256:da04da86e347a9ecfdd0fadbf4a6f25057bac15377d2e9dd6a83227ebc545ab1,LIST,"","","",0,CASE,olm-catalog,""
icr.io,cpopen/ibm-common-service-catalog,v3.21.0-20220916.000000-000000000-linux.amd64,sha256:36656d468c52721c8fa1660edd845713e23f275ffd987baeda50bd5142a2cb31,IMAGE,linux,amd64,"",0,CASE,olm-catalog,""
icr.io,cpopen/ibm-common-service-catalog,v3.21.0-20220916.000000-000000000-linux.ppc64le,sha256:4b5724ba9adaa82766099dc5ae81a2f5c428607977b6ae7d432c9524f755ad94,IMAGE,linux,ppc64le,"",0,CASE,olm-catalog,""
icr.io,cpopen/ibm-common-service-catalog,v3.21.0-20220916.000000-000000000-linux.s390x,sha256:26f98c340286fc4e0a2419837ac95663fd2f2fc555f8c3279394cb5530136439,IMAGE,linux,s390x,"",0,CASE,olm-catalog,""
icr.io,cpopen/ibm-iam-operator-bundle,3.21.0,sha256:85d6b9b4c15b7e3453a1b8143313da857b44030ec73f6cf96c685b7cade59eef,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-common-service-operator-bundle,3.21.0,sha256:fabfa6a257dabb2918be1aa2e9d00be2fff76970e89af66ec4bc025ab1762292,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-commonui-operator-bundle,1.19.0,sha256:446471ac1950392b92e334e6568c813f3545e229088f382541582232d86bf29d,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-licensing-operator-bundle,1.18.0,sha256:90802e0cc301d96a895d613dcb8b45dd83f7346782a4efcb5c786fcd4ef8bd35,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-mongodb-operator-bundle,1.16.0,sha256:6c92491f5de426e72d6f7eda0812b96114bb8c1197ccd64208c90f4c1ebd06c7,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-monitoring-grafana-operator-bundle,1.25.0,sha256:81d2713745fcf224d9bc5f55ce596c1fea38647982cf9b5955d3c48b44d5862b,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/operand-deployment-lifecycle-manager-bundle,1.19.0,sha256:40f63e42675cb6d9c52b8181baaffb58e742e273cae7376f05de836baae488ee,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-platform-api-operator-bundle,3.23.0,sha256:a1227e8aa93c32f937aa4574819f243cdf3ba7958ee708ebd13d8c4ad8edf08e,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
