registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
icr.io,cpopen/ibm-crossplane-operator,1.10.0,sha256:87af261a0457a40d6a3448344a73bafae33044eae33fb92b3cff09aea8892764,LIST,"","","",0,CASE,"",""
icr.io,cpopen/ibm-crossplane-operator,1.10.0-amd64,sha256:4d9dc0f8539f25640f610d28dfdbf71933c04dbf24bfe2aa5b0d910785045004,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/ibm-crossplane-operator,1.10.0-ppc64le,sha256:fa01d56bb5908f0d0b11f699486de87b246400554d98ab7190eba518aee71f97,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/ibm-crossplane-operator,1.10.0-s390x,sha256:b775889ebbcd56d2db479f50813a9241c20387672ca52817861778dab693909b,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-crossplane-bedrock-shim-config,1.8.3,sha256:b3969b998b6aba9a3b2c6243cbc3024c89bc92ffcfd0cd876708ac3b877ad231,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/ibm-crossplane-provider-ibm-cloud-operator,1.10.0,sha256:f23ad756fe239aeb22f291d2df57351db13dd9951d6c7a70df7fee92bc1cd9b5,LIST,"","","",0,CASE,"",""
icr.io,cpopen/ibm-crossplane-provider-ibm-cloud-operator,1.10.0-amd64,sha256:be779ec07ee9875adf1690eab1aa1be3e2d41c90784a4d6c83b22931f4eb8f63,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/ibm-crossplane-provider-ibm-cloud-operator,1.10.0-ppc64le,sha256:67fec23b0705cc205daa142288ff0ea12c1b7df6095331821e72d0a494d9f725,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/ibm-crossplane-provider-ibm-cloud-operator,1.10.0-s390x,sha256:acdeae24d5648996b25fee68e122754e5fe80c34be6e8c65280dfb4cdef9af4a,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/ibm-crossplane-provider-kubernetes-operator,1.10.0,sha256:05f153c9b4aac2307a9a6a2a244b8403f5e94590a164ce338dcdea03c598ff0a,LIST,"","","",0,CASE,"",""
icr.io,cpopen/ibm-crossplane-provider-kubernetes-operator,1.10.0-amd64,sha256:2cec4cd4e4fa464bbfa3eccb841d775477e8b38b89f0ec55a70d5d64ec9cd21e,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/ibm-crossplane-provider-kubernetes-operator,1.10.0-ppc64le,sha256:e40282401fe3320926916eb9daf3e8c15e9a35afc674f066139dca9cfa1e7164,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/ibm-crossplane-provider-kubernetes-operator,1.10.0-s390x,sha256:3e7ed9baded9410fd80817add4e3d26bc622ab662f431fe2521ffde8ddbe35b9,IMAGE,linux,s390x,"",0,CASE,"",""
