registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
icr.io,cpopen/ibm-healthcheck-operator,3.22.0,sha256:85eb066660131bef4a29113120cd4c4a2c24b7ae56848e05e8d67ca1258d6a60,LIST,"","","",0,CASE,"",""
icr.io,cpopen/ibm-healthcheck-operator,3.22.0-amd64,sha256:5317f7bbff8cedf4048423400c2ddd13dffa0f69a5fcd212dc3c14eef3c02028,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/ibm-healthcheck-operator,3.22.0-ppc64le,sha256:dfc4b38b731838c668e0f73a262e504246b39cf5841d51300c9a0dcaffdd12b7,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/ibm-healthcheck-operator,3.22.0-s390x,sha256:f974575f1f4a6c0167402e5b4b11c1a760047717bb0ec546400addffad53a041,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/system-healthcheck-service,3.10.4,sha256:6898aaaf19466a343c23412daa9ed63d3a0941cf5ba2cf5a6fd204f8758622fa,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/system-healthcheck-service,3.10.4-amd64,sha256:51aab2cc5ffd57e69fd0d53e2f9a0def45092a276ea353a64f267e0d5fa3de47,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/system-healthcheck-service,3.10.4-ppc64le,sha256:84ddabd0f8e23e39d46d444300c2ceef83b07492c4dd41ea99aa95183049292b,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/system-healthcheck-service,3.10.4-s390x,sha256:cd5ce463f6d7cbd50460ab8d33d3631f11e9bb7597aaa5f67774906229123704,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-memcached,3.10.4,sha256:fffe6af1ffc5570f042e68765c8fa5ec91d8e8bb9e677588ef6c4130e8e10491,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/icp-memcached,3.10.4-amd64,sha256:8911321bab27511232077e845859f568afe7d548f156bf81886efc341491a6a9,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-memcached,3.10.4-ppc64le,sha256:0be811b743a2dc8fe649a8d94366270b9d189fbec592eb95ebe71f439ee5c612,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-memcached,3.10.4-s390x,sha256:a54ee71f839db84e30e3fa26bc584c39341a910b7d4ee5bc7fae474ee0d5ba1c,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/must-gather,4.6.4,sha256:900d9a72472fd8cdf4b7aa57bdf4b04d87640a32fb779ab84fd4203a876830f9,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/must-gather,4.6.4-amd64,sha256:bc60364236488f1e45e50ec32b4803c57e001db42617d93e75e0b2e429588f05,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/must-gather,4.6.4-ppc64le,sha256:22ad4906193e4d7d4f9081cd02ac79dbdd60e5ec4d680570d90dc8ac922a6600,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/must-gather,4.6.4-s390x,sha256:63ac2577d1e68064c60fd989af4edbba3c01f68a7a95e88715347a5f860de8d9,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/must-gather-service,1.3.4,sha256:661dff88bacd811869224bc8dcd67d40d6ff5560dbcd1a046b3ac5155a7b302a,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/must-gather-service,1.3.4-amd64,sha256:269f6415e9bbae7bf800a360239c2c1dd86ba80ed5d2f000b1422f1cba0389b3,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/must-gather-service,1.3.4-ppc64le,sha256:337ec7660219efd9b8631ca68a36809ae31da5c9c4aa58ff68e51b3f5bd79820,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/must-gather-service,1.3.4-s390x,sha256:bfd0352779adc627d0262ab362b9f71bce08ae3ce45fc01c8ac563170c0d39ef,IMAGE,linux,s390x,"",0,CASE,"",""
