registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
icr.io,cpopen/ibm-iam-operator,3.21.0,sha256:30c570e31bbbe6cf8c3d41e8e8aeaa46bff8f42840ff7a1ec5fd7934776f29d1,LIST,"","","",0,CASE,"",""
icr.io,cpopen/ibm-iam-operator,3.21.0-amd64,sha256:9f8f076cf561c6ff77f280fdf300406059dc8b90597e7f677f490a9c99b4a69a,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/ibm-iam-operator,3.21.0-ppc64le,sha256:b02a8bb2bfeaa04bbb9c4f45e742fad79c1e8426028395595f4112f30a99ebf3,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/ibm-iam-operator,3.21.0-s390x,sha256:b1d201e10474aaae0de3d3aaff669c1c36dc00f3facba817f3c2f5619f05de9e,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/audit-syslog-service,1.10.4,sha256:23e3353bef824dffc46bdc29806a8e02d5769056126812452ad2da5a6931537c,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/audit-syslog-service,1.10.4-amd64,sha256:5446ae173eee1dfa1743726842a6bb99ee0ffdcf928650a51c2085f4d96712d6,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/audit-syslog-service,1.10.4-ppc64le,sha256:0d296a81975c2182289e4454e310458464186632c7f388b1c5d1d1e7537b1d98,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/audit-syslog-service,1.10.4-s390x,sha256:6882837ea547b0e08737c64d239ab60084e84c963449c778cc6c65b5791963ac,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-oidcclient-watcher,3.9.0,sha256:a17d02d32c0255b523e2705158b8502727851afa696ace28a42facbe664cf764,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/icp-oidcclient-watcher,3.9.0-amd64,sha256:886c498b976bf1927a5561e121b46b10eecfce5b9abb5a6038303d49baf3e2a7,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-oidcclient-watcher,3.9.0-ppc64le,sha256:531f530fa7aa807e687768102d9cdde9fbcb1689003f338317396f70a830ecee,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-oidcclient-watcher,3.9.0-s390x,sha256:30cca391256faf1cbb6706cb519a5f4efa01ef63c3b7cee1b1478c9f665de939,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/iam-policy-decision,3.9.0,sha256:8fd837f3df85c2b929ec480e9ced7150e8da60f0578a4b3d5ad2d40f5d7e6f39,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/iam-policy-decision,3.9.0-amd64,sha256:1c1412ad98b14bde0c9c2e468d2921c817bad63868b4035ff5dd7321ce76802a,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/iam-policy-decision,3.9.0-ppc64le,sha256:f97b4f99a691cbdb78d8738abd722a0e763c735256d0ba6e17576605924f515f,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/iam-policy-decision,3.9.0-s390x,sha256:ffb9678bb5acac195c6cf6e4a00d83c73cf9df737aec04808977ba31c03f5cf2,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-platform-auth,3.9.0,sha256:d47230bb7ad3831788ba9a06b0ea233ee0e37edbc7632034694066f2951ab10f,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/icp-platform-auth,3.9.0-amd64,sha256:219aacb2fe3f7e60765ba904d351180eb7fe81f076562fa99f94c2d5887d0a53,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-platform-auth,3.9.0-ppc64le,sha256:de1a245d1c50509e1488970373ec5668b35b030be0c5ac7e331c48aeb2aa4748,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-platform-auth,3.9.0-s390x,sha256:9c4b91bfa14a5c2b073ab79650a8b37030acf9dc8959719c0e14881de2d97481,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-identity-manager,3.9.0,sha256:dbc359a11ff43b0e53a841d6102f9462d92d1369bf95bcb7c43babfffbf67423,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/icp-identity-manager,3.9.0-amd64,sha256:6063926382d782ad817f683e255cc5ebfb9187f7fc568905ba0b3e556c36ef36,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-identity-manager,3.9.0-ppc64le,sha256:3c3498c78e794a654c93ea31c11e0f8f4cfa3183a719a868e1bd452f77491d34,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-identity-manager,3.9.0-s390x,sha256:47d6aed1138359ee765a86eddf9ce7e26c20aa664eeb410abacee54df990a940,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-identity-provider,3.9.0,sha256:c3c1378d72873c69b29bcbff5218cde776caad970e0c79e069520b26c2b233e3,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/icp-identity-provider,3.9.0-amd64,sha256:722d797eaf8b8a1918fc3f691bc0d3ada0ebf73c3f140fc1c66e2ee11f3bbd01,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-identity-provider,3.9.0-ppc64le,sha256:7f750666c46f01397ae4842e7c44988ed51b322ff7388494c5ff46ddc8b06e09,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-identity-provider,3.9.0-s390x,sha256:8e58029c653ee9b99635c3bccdf5e0501666e01c19c7c2f96d60c06a26f80c22,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/iam-policy-administration,3.9.0,sha256:706f4cc9989dcf4369b28c5fd05379a79e75bf3b023d681892f8af11672ee58d,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/iam-policy-administration,3.9.0-amd64,sha256:5e66da3c06e9a2d0d6d5eef248292693899f4f438d4f84fc803f515b0953a851,IMAGE,linux,amd64,"",0,CASE,"",""
