registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
icr.io,cpopen/ibm-mongodb-operator,1.16.0,sha256:e41a7cf56a435435b74e5369ad0e8f8e26c602c1adf4ed328673a2609ac6a583,LIST,"","","",0,CASE,"",""
icr.io,cpopen/ibm-mongodb-operator,1.16.0-amd64,sha256:ab4094c9fdd61deff5d5d0a9f3cdd7da5e8b7859a0bb0bb0e807d0fc467707e8,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/ibm-mongodb-operator,1.16.0-ppc64le,sha256:547743136798b39de414983199e68a58294f0c194220bd49e85e85a599d83c5c,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/ibm-mongodb-operator,1.16.0-s390x,sha256:5c6bed1ce6629cd7b7bdf762b5d70a8952dae0cd781c2552720d4bfad220817a,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-mongodb,3.19.4-mongodb.4.0.24,sha256:7b21e93254bcc63c2ee335f9118a6546fbfc8f8bec0234a8023043759806783b,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-mongodb,3.19.4-mongodb.4.0.24-amd64,sha256:259b914cd094ad7378ca1c81306885287bbc67747ad2e9159e14e80175419e48,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-mongodb,3.19.4-mongodb.4.0.24-ppc64le,sha256:7961729ec683739c47fa6e2a94068b4d1a93abe3301d52a4404c75abf72986fe,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-mongodb,3.19.4-mongodb.4.0.24-s390x,sha256:4442a653455372f312399468b39189e82785191e1257dc1021091c5ee0cb0b57,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-mongodb-install,3.19.4,sha256:4060aa739d2434b8613012e159a0cf74b8843bfa94842ddf06e5ad1f63033aea,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-mongodb-install,3.19.4-amd64,sha256:3ea007b1e41cadb8aaec97e485495f6e1b9aa23937a34ab33815db68a8293f4f,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-mongodb-install,3.19.4-ppc64le,sha256:55eb527337a8f779a73352ac6db4644b0ca565530131e8dff5f6fab1fcc0ce2b,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-mongodb-install,3.19.4-s390x,sha256:7e2883d9f97be188f2b17fd43bca05aed9b5495cade1431fa6ba9aa798562427,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-mongodb-exporter,3.19.4,sha256:c9ebeb7b4f386ae22d5064617a54bd4f054a0b42dffbb34499db409fae6a8b80,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-mongodb-exporter,3.19.4-amd64,sha256:9ac56bb5c98b61641335bb688fc8eac2731e90b58c96e722f099593de34a570f,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-mongodb-exporter,3.19.4-ppc64le,sha256:ca930a8d418928f853245ded385c0092b2c187c8a143f86160728dcf54f4e6b2,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-mongodb-exporter,3.19.4-s390x,sha256:06eaedd98da1cea71e621d913b2f7a188f3a5c93c32bfd5b6dbff87f00dcbe76,IMAGE,linux,s390x,"",0,CASE,"",""
