registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
icr.io,cpopen/ibm-monitoring-grafana-operator,1.25.0,sha256:49b2b36156a259e8b9b0924b9bfb3c66acc2af7d211170e984fda5815fd37d45,LIST,"","","",0,CASE,"",""
icr.io,cpopen/ibm-monitoring-grafana-operator,1.25.0-amd64,sha256:9db18604a5f069c6bca6fbd7242cff24ec73f93be01ce912235fdbf35e798a87,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/ibm-monitoring-grafana-operator,1.25.0-ppc64le,sha256:5cba86dd7f9d76cde5b2cf52b36163ba46ff83faffce557bcd6b50d91d0877f0,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/ibm-monitoring-grafana-operator,1.25.0-s390x,sha256:fa7e7491f282f5578d2fd210ce812c6c1c8f240055562f704941a0c05458c3c6,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/grafana,v7.5.12-build.1,sha256:0d5adb6e99d168e6746fc3d79af13e6203c2b5c237b3afee522f3df9613705f2,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/grafana,v7.5.12-build.1-amd64,sha256:9e247380fa9cccc8b9121493d5ff771c89762f84322a3c8a14a3cdaa67c59637,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/grafana,v7.5.12-build.1-ppc64le,sha256:f97caf576740dd503fb15f6db3429affc038806c3a4632efbd759e5c863d8435,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/grafana,v7.5.12-build.1-s390x,sha256:a2d0a088dd2238978d62ac446c9d911c8e75eec99ca7c04b584deb7256b8476a,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-management-ingress,2.6.2,sha256:030438b543f60fc67e6689f7344106544e8f4971db174add8c2a38fab20ee321,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/icp-management-ingress,2.6.2-amd64,sha256:aed2862da818f265accbc8d3f2a67329d65748578c887d5e3c93cce6581ed2f5,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-management-ingress,2.6.2-ppc64le,sha256:852c48414ca7b6f2672c1f3ed018281f71b6419df09553e0bd66066e16fae10c,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-management-ingress,2.6.2-s390x,sha256:d495be97481f8d0c123ddde9375132c38f8ec8d042185fc6592e39ccfd130ce2,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/dashboard-controller,v1.2.2-build.20,sha256:e78b55254fd19ae1d9828069d6d1f53435393039f109f89ce33e1745b94b3e01,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/dashboard-controller,v1.2.2-build.20-amd64,sha256:eb4a992d9809f8cc794a6ac3243a6ebc554c8a1d64727c95d7b575611cfaabae,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/dashboard-controller,v1.2.2-build.20-ppc64le,sha256:1745feada02723d881be7e9248a8ed8187e38e283adb468f09d690368b579fea,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/dashboard-controller,v1.2.2-build.20-s390x,sha256:fcb696bf7b4faa04c4544ab3fb3c1d71dd8b6e0cbc82699cad846a14f38a9836,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-initcontainer,1.0.0-build.26,sha256:d8f97ec11628210896bd5f0c36381f4caf226cf0d8f70887fef37db3b3b67aab,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/icp-initcontainer,1.0.0-build.26-amd64,sha256:0a4e85074a418b47202cca938855fbcf7dca5bd6808650b39273f9ec4cf6a9b7,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-initcontainer,1.0.0-build.26-ppc64le,sha256:98273168b6f48bb5df81465e8ad47c257dd917ee7a5d682d2229b7083149aa88,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-initcontainer,1.0.0-build.26-s390x,sha256:803f2c266e0ca219c70cc8adce8bd50ed66cafca08e799807264333dcf3dfa30,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/grafana-ocpthanos-proxy,1.0.21,sha256:248f11e77bfdac993e95814ee2c16e7d3a7b33b51ab91849b1d6e5935aeaaf86,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/grafana-ocpthanos-proxy,1.0.21-amd64,sha256:6c0654d940f354cc80eceec14e867a3b6dbe0863ef1182c9ffbf6b0932b23220,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/grafana-ocpthanos-proxy,1.0.21-ppc64le,sha256:30aada0f366f6b25fd87151544216e72628d4c99fe16456e71e21768567c7e5f,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/grafana-ocpthanos-proxy,1.0.21-s390x,sha256:ebdacef30abe5365d863b7a3cbfddd16b0375b2cf2930c50f26734fcfaa98f30,IMAGE,linux,s390x,"",0,CASE,"",""
