registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
icr.io,cpopen/cpfs/ibm-license-service-reporter-ui,1.18.0,sha256:669de6f72d7506c9709bb6af16a3f0e7e29c3cc85681d25a3a075a39da695457,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-license-service-reporter-ui,1.18.0-amd64,sha256:c849f9b3a3458f8cee24fbe39637660e19d349f54152f486177953730a9e3eb9,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-license-service-reporter,1.18.0,sha256:c12931d91b3f04b98cefbfedb6877b66b7ecdc1e31c3d02c86684165c4e1a9ca,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-license-service-reporter,1.18.0-amd64,sha256:5c51993bd3f763adb85397c0c6753e8588522564631cf6cee3e1e05497833174,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-postgresql,1.18.0,sha256:569bbb63546df8e9cdb4ac09da490e6e226a8c5a0844ff1b7379b253ffb52cf8,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-postgresql,1.18.0-amd64,sha256:2f31fc69711864813f579b48d9bef00d9c1a05749d781670bbc26187ee18093d,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-licensing,1.18.0,sha256:89280e114782460b17aa68cc627a8ef4c682187f559686e24e63309ce2df9e5b,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-licensing,1.18.0-amd64,sha256:066fe742fe709301db46d4e5415d510f7f1dfacd4f67912b8b1cf32202f9562a,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-licensing,1.18.0-ppc64le,sha256:4f7e7a8030dcf66fafab2c6f825f39728a58ef8ab472606e165b3ad324078e0b,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-licensing,1.18.0-s390x,sha256:ade3ba72abcb025cc16a817770b89f805a8d9597295308ac7e4ac2c29899dfb6,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/ibm-licensing-operator,1.18.0,sha256:7c9d99d7e61a88b42577e64a4ac5aa0bd3e88a04ccde5a0aa0ee8a4b48211c81,LIST,"","","",0,CASE,"",""
icr.io,cpopen/ibm-licensing-operator,1.18.0-amd64,sha256:a7e6fb71e2ebc4892f577af570ef884354b5ef2f7d732d4941d49f792900623b,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/ibm-licensing-operator,1.18.0-ppc64le,sha256:e8ba239c576a3a3554017eb146f963a27b1c9170a8b2be439c359b4adf95b774,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/ibm-licensing-operator,1.18.0-s390x,sha256:f816ad29bd0f793ec3e52b621508ab045bc976bf798e16fe709e02e1d4cff552,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-licensing-usage,1.18.0,sha256:fd7158a49a845a6cb2229f78508f61be2cee58bd606675100a9981179f0425e1,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-licensing-usage,1.18.0-amd64,sha256:b50dc1a107649fedb371efc99c773efae20e1201291fe0c8bb73a25eff6d9273,IMAGE,linux,amd64,"",0,CASE,"",""
