registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
icr.io,cpopen/ibm-management-ingress-operator,1.18.0,sha256:30021b58f920df22cfa1486ad31e55451234dfe179ffa2659d3d5e6d9ccbb13b,LIST,"","","",0,CASE,"",""
icr.io,cpopen/ibm-management-ingress-operator,1.18.0-amd64,sha256:7f77e654ae22c132fb3df6c1a9e2891c8d4d40b3e37c91fa2dcb86cac923a7dc,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/ibm-management-ingress-operator,1.18.0-ppc64le,sha256:a9ba118877ba06523bac3bae21d6f54fa1616eb83b72b0cf4b8c6dcfcd2c4bf4,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/ibm-management-ingress-operator,1.18.0-s390x,sha256:ce7bdca5af170f39474727e4606dab48416029ca5a087c41d4c1836e1af5dc51,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-management-ingress,2.6.2,sha256:030438b543f60fc67e6689f7344106544e8f4971db174add8c2a38fab20ee321,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/icp-management-ingress,2.6.2-amd64,sha256:aed2862da818f265accbc8d3f2a67329d65748578c887d5e3c93cce6581ed2f5,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-management-ingress,2.6.2-ppc64le,sha256:852c48414ca7b6f2672c1f3ed018281f71b6419df09553e0bd66066e16fae10c,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-management-ingress,2.6.2-s390x,sha256:d495be97481f8d0c123ddde9375132c38f8ec8d042185fc6592e39ccfd130ce2,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/ibm-ingress-nginx-operator,1.18.0,sha256:b4b40e66c44fdad2e83c6cb09a67a4d2c62b3ee5773df387f7bf5685914b1ccb,LIST,"","","",0,CASE,"",""
icr.io,cpopen/ibm-ingress-nginx-operator,1.18.0-amd64,sha256:4dc6d0a37c65aca256220c1a458860765b5c3ddb1116d2605604f09e814a6ab7,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/ibm-ingress-nginx-operator,1.18.0-ppc64le,sha256:7838fa022160dd26f593c95bfa49be485e561ffeb8fc4003b75298ca8fe282fb,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/ibm-ingress-nginx-operator,1.18.0-s390x,sha256:ec32306e785cd9977c91ae603b1686bc38cbf7c69f5fc026b375ef9a537455da,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/default-http-backend,2.6.2,sha256:a99c5a6dc81b494cf1a4987fda9e79c2dd6d9979d685c0f214b8f6a9b9740734,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/default-http-backend,2.6.2-amd64,sha256:5ffd2d16bb13f7238f5c40e4e04b8f604bae2c2c0da06082ba13e45814a2f6ca,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/default-http-backend,2.6.2-ppc64le,sha256:e3eccb9e5ee24a6e5d2b378ce0df3f917102849add165c4bcdef5fbc09275784,IMAGE,linux,ppc64le,"",0,CASE,"",""
