registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
quay.io,opencloudio/ibm-platform-api-operator,3.9.1,sha256:b4dba37f6cbf1639719be7013b88f352c806e713e143f5a03e5fde03a2a17fc6,LIST,"","","",0,CASE,"",""
quay.io,opencloudio/ibm-platform-api-operator,3.9.1-amd64,sha256:8b4e62ec243f62ca18d016380c10541e9533f9102e9ea73385688d461a338a14,IMAGE,linux,amd64,"",0,CASE,"",""
quay.io,opencloudio/ibm-platform-api-operator,3.9.1-ppc64le,sha256:728bd203faad4b243f054cf32cb069ea45cf49b97997bfeb020226dceeec3102,IMAGE,linux,ppc64le,"",0,CASE,"",""
quay.io,opencloudio/ibm-platform-api-operator,3.9.1-s390x,sha256:b39e1b96d136862d9d30ab1635fdd103243e6ea8a1b4a6f3f31fb5a212f002c8,IMAGE,linux,s390x,"",0,CASE,"",""
quay.io,opencloudio/icp-platform-api,3.7.1,sha256:836be6b63aed69331bc7860ea1eb5ff1bd15be0114ac0aafd1b515d25a20d800,LIST,"","","",0,CASE,"",""
quay.io,opencloudio/icp-platform-api,3.7.1-amd64,sha256:91987d2736d6522b5a4c6ec33a8aa53c6ca1fa5a1725fcc335276b6d16e0d871,IMAGE,linux,amd64,"",0,CASE,"",""
quay.io,opencloudio/icp-platform-api,3.7.1-ppc64le,sha256:a25a392a31c2478f1e7a0350466e7e195173c5979b65bbd6dea61e44a27ce30b,IMAGE,linux,ppc64le,"",0,CASE,"",""
quay.io,opencloudio/icp-platform-api,3.7.1-s390x,sha256:122c91b8eb1f5dc6e6d1f38ad28e9254cc267df9a570f2af5d19f53373fbc382,IMAGE,linux,s390x,"",0,CASE,"",""
quay.io,opencloudio/audit-syslog-service,1.0.6,sha256:4c02a23b8cbee2fdf0bda3344945590dafad8fae18aa1dfcd0c808e5a569cdbf,LIST,"","","",0,CASE,"",""
quay.io,opencloudio/audit-syslog-service,1.0.6-amd64,sha256:da88b9fb89a8d9a506c1af7d4339487663c69cec05d9a27137b72f6aeaf1c5c4,IMAGE,linux,amd64,"",0,CASE,"",""
quay.io,opencloudio/audit-syslog-service,1.0.6-ppc64le,sha256:3b1e0cab944cf8d6a1a2f7072a0bbac11295a48dcf6ec4262af37098bb29da98,IMAGE,linux,ppc64le,"",0,CASE,"",""
