registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
cp.icr.io,cp/cp4waiops/ai-platform-api-server,v3.5.1-20221017.2202-466d7f161,sha256:466d7f1611937ec930e378fa204001104977a49bc6ff5dc068cc9c9bdc2c5893,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/change-risk,v3.5.1-20221017.2202-f182e24df,sha256:f182e24dfee90a35a66025605d80bd8d1c3c428c9ccc058569c64cd95718ff4c,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/chatops-orchestrator,v3.5.1-20221017.2202-20d115446,sha256:20d11544630549f62f0fd315e51ff565b8f9717a297481b970e3eabea768ec53,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/chatops-slack-integrator,v3.5.1-20221017.2202-075caaf47,sha256:075caaf47db2609e1ea89e4939f959a84e4082d32a943c2004f238d40778ee7d,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/chatops-teams-integrator,v3.5.1-20221017.2202-9b629028e,sha256:9b629028ec24b128d093c65089073756ecdd6b3ef3dc24653507e9630a06f3a6,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/connection-manager,v3.5.1-20221017.2202-738405271,sha256:7384052713da3532781bd9100672d2b8192eda6618b9871f419845cb7c167457,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/elasticsearch-curator,v3.5.1-20221017.2202-559aa37ee,sha256:559aa37ee7cc2f520e1cbace46023a8ef1b6102d446b994d9c3e7d066236dda8,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/event-gateway-messagebus,v3.5.1-20221017.2202-5362be9d3,sha256:5362be9d3b88f5f4980127aa81681df629fa3816809eeebce6f3bfe09631d46d,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/ibm-aiops-cr-api,v3.5.1-20221017.2202-0efae628c,sha256:0efae628c97752bc77d24e1e3752e34606d19c491484cbe3c06775d5b17ebb66,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/log-anomaly,v3.5.1-20221017.2202-20009a71f,sha256:20009a71fb592636944aa5dcb4f481063b3c49a18aa5a4adf51d0325a03fefbd,IMAGE,linux,amd64,"",0,CASE,"",""
