registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
cp.icr.io,cp/cp4waiops/ai-models-ui,v3.5.1-20221017.2202-1add78701,sha256:1add7870110259dd4e6e4e37ea22f21fe93babf6e82b0e019617da81c3f83caf,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/ai-models-ui,v3.5.1-20221017.2202-1add78701-linux.amd64,sha256:be504a9b42a3db87b1780b46a961fc3eb14706bd29c1a734ef33a51af535ea52,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/aiops-application-details-ui,v3.5.1-20221017.2202-d38a03f7f,sha256:d38a03f7f01bed58d410d49890be98b6022c769c8f93ef3b3e6b4e18ddb6feea,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/aiops-application-details-ui,v3.5.1-20221017.2202-d38a03f7f-linux.amd64,sha256:cd26cd5946fc7a447ebc14e81ce0b61ec5d445fc75c52aeefb197ed212a0d469,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/aiops-base-ui,v3.5.1-20221017.2202-3940c1576,sha256:3940c157695bf747ce4f08755c535b490578f0a2cd5d4d127aede6136280395e,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/aiops-base-ui,v3.5.1-20221017.2202-3940c1576-linux.amd64,sha256:7a4fd62a31fa678e7c11c044142ce51159510ebd3348b62db4a53554251385b4,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/connector-ui,v3.5.1-20221017.2202-8148c3058,sha256:8148c305812f93de073a0700971d151895ef1c2b530f2ae908868382c2428232,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/connector-ui,v3.5.1-20221017.2202-8148c3058-linux.amd64,sha256:d4da98e1e89e3db75a8b2ba9882fbe665bc6bf2bfba1b6add0a3afa571c918af,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/common-datarouting,v3.5.1-20221017.2202-2516e2200,sha256:2516e2200cffd376b83ac4f96f78dc0dd0cbdfaf4c584977c614a62e64d09e4f,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/aiops-dashboard-ui,v3.5.1-20221017.2202-805303c40,sha256:805303c40a891c55f4e87441874bfc8d8fdf17745e685ae6a2bd0e907f7dbff6,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/aiops-dashboard-ui,v3.5.1-20221017.2202-805303c40-linux.amd64,sha256:9f7f46de074fbdcd85c745785b0cdbb03289163eca480f2197fe59ad06580e0f,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/aiops-dashboard-api,v3.5.1-20221017.2202-1f7e7df5b,sha256:1f7e7df5b88994fcb7582f2aca16f36419e5ec3b8c1061641e8a2cacb3b53cf0,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/aiops-dashboard-api,v3.5.1-20221017.2202-1f7e7df5b-linux.amd64,sha256:751a03e4660aaf308852897bd49e52ebb150362a250ab4eae1a3ed7602627f4d,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/ui-api,v3.5.1-20221017.2202-e613ec74d,sha256:e613ec74d8033e6c9e769283035b647077e2d04ff157ca73fcae3cb2f7700b08,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/ui-content,v3.5.1-20221017.2202-78b72d0f6,sha256:78b72d0f60173b6507c397befd766ce999f781d252f825d1f332fbac22d5856e,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/node-server,v3.5.1-20221017.2202-895a0754f,sha256:895a0754fba3ebcb7ee2f008befc9e264e6bc12ca545c2bd7739fcbfbe181971,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/ibm-watson-aiops-ui-operator-bundle,v3.5.1-20221017.2202-846f5029c,sha256:846f5029ce9254b6ef66ca131eb8579c1cdfddff4894d347dcb7a0c4ff816dc5,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-watson-aiops-ui-catalog,v3.5.1-20221017.2202-f857e02fc,sha256:f857e02fc9b0a64be1c5efcd458702fd244e1745474d67934a8a416cf1546ac0,LIST,"","","",0,CASE,olm-catalog,""
icr.io,cpopen/ibm-watson-aiops-ui-catalog,v3.5.1-20221017.2202-f857e02fc-linux.amd64,sha256:553c7874daf0080e8c5001fffc3e0bf7002b8922cdac816aaadaa2cef197facf,IMAGE,linux,amd64,"",0,CASE,olm-catalog,""
icr.io,cpopen/ibm-cp4waiops-watson-aiops-ui-operator,v3.5.1-20221017.2202-46b24971d,sha256:46b24971d8a7a108fb28b8ade262dd8c027e437e2b67d50ed06b4587512515cf,LIST,"","","",0,CASE,"",""
icr.io,cpopen/ibm-cp4waiops-watson-aiops-ui-operator,v3.5.1-20221017.2202-46b24971d-linux.amd64,sha256:eeb28552aa65bb944f943f3095d9d8c97b0d1e79fd15ab06ff417cc387aff674,IMAGE,linux,amd64,"",0,CASE,"",""
