registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
icr.io,cpopen/cpfs/privatecloud-usermgmt,4.7.2-31,sha256:b54bc4f9cd0e5d95d76de66ba9c9b11eed071c9af5f847f9f9449b6093328304,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/privatecloud-usermgmt,4.7.2-31-amd64,sha256:57ae4ca83825755e7e388ca2e90d48837a4d7c93a0fa3622bdc5b2e7b961c829,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/privatecloud-usermgmt,4.7.2-31-ppc64le,sha256:5b690acc658cefe57c7ff8ef2eb617a2798efe820056c90ad2f1dc8c0fe49c75,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/privatecloud-usermgmt,4.7.2-31-s390x,sha256:14324adbc9033fb02c7d67f69f4bf1ec61473f424e2146335577671c8811a7bc,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/zen-metastoredb,4.7.2-31,sha256:ff63de126f642990667b9021a3cfc53ea4204f90d8b8388a2fcf160c65c34d21,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/zen-metastoredb,4.7.2-31-amd64,sha256:be5b0df067c000d848e831245fc6da30143f04ee905a381804fdd7c2ea2d01d8,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/zen-metastoredb,4.7.2-31-ppc64le,sha256:ac1da41dfe2d4882d8a1d90abd0519b23a65ec2476177f3c2d0c7c5624c56182,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/zen-metastoredb,4.7.2-31-s390x,sha256:c53d52de0d2af0d8120ddce1e5064d56c1f4d53f108c1113c796abea3abc23ba,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/influxdb,4.7.2-31,sha256:f8c172f8598eda9e0841945a6f43f7111ec1697e4e58f1893af6beebaf22138d,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/influxdb,4.7.2-31-amd64,sha256:876f6b8b16ff10daef89d5f8db606e0d2b836569f1cad60836c2c96fb00801e8,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/influxdb,4.7.2-31-ppc64le,sha256:b40661e7690f75363605bbcc705bf0706b56f95d2903a8fb0ccb8a50aebde6c2,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/influxdb,4.7.2-31-s390x,sha256:41032f713364a3193710cbdc2b684f75fea174b04233dba7143b2f488d393ef5,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/zen-influxdb-relay,4.7.2-31,sha256:e4ea704a569e613002e8e39083d30ae1ab79d5bceb9b0bb8c45d3d029241c28d,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/zen-influxdb-relay,4.7.2-31-amd64,sha256:efcd10e64285731e707dc67b559c2375d115a03c7df52702b237c3fadb7ab568,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/zen-influxdb-relay,4.7.2-31-ppc64le,sha256:e07370fe97f8a9aee319cd612b8cc94437253abafc8c6c43e2890cee0a345253,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/zen-influxdb-relay,4.7.2-31-s390x,sha256:8846b098cd5d2145fad6c197c9481fab5a7f2db7c3b9cedda9bc6ee7da26c76a,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp4data-nginx-repo,4.7.2-31,sha256:220747fb15c38ef7019113b7b0f14de522070dd469d41d4db55c3653e3b3ae11,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/icp4data-nginx-repo,4.7.2-31-amd64,sha256:5b191f33b542e4d9000fe9fdb14166bb818723083297100f197556652a46f08f,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp4data-nginx-repo,4.7.2-31-ppc64le,sha256:2c1664a15b85c487c9494e248dc441a107a7eae508cbe474832628d6d885ae71,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp4data-nginx-repo,4.7.2-31-s390x,sha256:4bbb7fd7d4664b537b09c38f8129f43b84b0df6929fddeaf30678cbd081afacc,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/zen-core,4.7.2-31,sha256:dc4f54c2fdef20cbb0c63cb1ae60cd8c2908faf03e4eaf9d9dc1680892b23210,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/zen-core,4.7.2-31-amd64,sha256:4fef7680c9b53a41560463a8901d162e740993488cdd4a24ceb8751f5cb03dc2,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/zen-core,4.7.2-31-ppc64le,sha256:f68fcb1c10dcd1e5fbbd0154ae4b56e73a708e8cff39d044c981f549b1c9d83b,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/zen-core,4.7.2-31-s390x,sha256:e55ccce23e5dbfeda046c8433ec5b737f4e265d8ee2b2ef05a54786e4650c8c8,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/zen-core-api,4.7.2-31,sha256:4a1ab63ebd6aa5770f1ff612a0ef8fd36d324f4cefb30894d35f14ca93950407,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/zen-core-api,4.7.2-31-amd64,sha256:5c0d1264d21d5017180a68ccac221af261c18d62aa32ed72c863fede2de0ce07,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/zen-core-api,4.7.2-31-ppc64le,sha256:992e4c2ccadd8bffbb83087907bf608affe7b7c2698ffe74ea3e6b4769e0395d,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/zen-core-api,4.7.2-31-s390x,sha256:d436b1eec47b157ee4b6379cfa6dd603a2dc4358bba480837afef87923e93170,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/icpd-requisite,4.7.2-31,sha256:ca9b014d8a90dfb7de52f3735b928de25e231566b7ef12a38db51dc67a47ba92,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/icpd-requisite,4.7.2-31-amd64,sha256:e5f53af441168459ee6ae28741c63a92de81c166f5614d182dd8ec4af3090f17,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/icpd-requisite,4.7.2-31-ppc64le,sha256:7ea41b222bd700faa868e62fed06506fbc045eae31f6a25df0bbced6b8966a93,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/icpd-requisite,4.7.2-31-s390x,sha256:f38e55a01f67ba5d25a0689f65bb606bff98d69403b1e185690674416727fbf8,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/zen-watchdog,4.7.2-31,sha256:f3632cecf61c732977916b54ac964b87dd127bbfeee2c61e05495d63673959e9,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/zen-watchdog,4.7.2-31-amd64,sha256:961e337319e2b6ea807efc179cf5525c537c43e341c0bc7bc92a9efbca3dd46a,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/zen-watchdog,4.7.2-31-ppc64le,sha256:16a7966fe8b1c38f879ab6fae0f1e93caa01ef5a0cd1f7e21dfa16f497e49212,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/zen-watchdog,4.7.2-31-s390x,sha256:59bf1c1b00e539b2fa5260857ba760604c20121526fb623c6ebe73ea220e88af,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/zen-data-sorcerer,4.7.2-31,sha256:511fa583012017c53017a060e8332b15e7f81b5d899a85db2ba2c5e979a982de,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/zen-data-sorcerer,4.7.2-31-amd64,sha256:57bc906d71dc5b89fb5dc241527ea7a9907e58c4d70a880b393d3c1805cf49b5,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/zen-data-sorcerer,4.7.2-31-ppc64le,sha256:f0566f4ab31ea3d31583f5fa80c353e7477c693939994b8c1118ea4dbd09c3ce,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/zen-data-sorcerer,4.7.2-31-s390x,sha256:ff47963d8900ee72ee28b3036c3f7a5ac0097b540526cabbaf03380ac80edf0d,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/zen-audit,4.7.2-31,sha256:66a57c104476fb75b5ff0bfa86243f71d558ed66914750d1bb375d7d4b8717a7,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/zen-audit,4.7.2-31-amd64,sha256:ac3d2218e0f790027fa75411591245485f5610bbe76f7993ffe5b6ba17ee7539,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/zen-audit,4.7.2-31-ppc64le,sha256:0a3d3e4dc872573ee9b823c05464ef440c353ff3dac4f504b154d13f9caa5bdf,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/zen-audit,4.7.2-31-s390x,sha256:eaecc5c81361ac952d3ea61fd8f193936a397c3b538ede8e36a9fe571e1a5fe8,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/zen-iam-config,4.7.2-31,sha256:4c295e448575bb81f80667ed650ea4fe0917ca506ff86cec6b70746c6fac11bf,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/zen-iam-config,4.7.2-31-amd64,sha256:2004f21ba623d3fdae88add2b932ba3feccd010171b320007e6f5a85308be484,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/zen-iam-config,4.7.2-31-ppc64le,sha256:191d5a4a4836ae242b0b125e8992a00d1beab909533a409726990e186558d0ad,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/zen-iam-config,4.7.2-31-s390x,sha256:730cba68ce4b87275d0a0a0213c211c0fb768390e77ff2540900852290613fa7,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/ibm-zen-operator,1.7.2,sha256:92984f1c7f2600ed3f958f08eb03b617a2ed68850555a80a764dabef4cca4b5e,LIST,"","","",0,CASE,"",""
icr.io,cpopen/ibm-zen-operator,1.7.2-amd64,sha256:95604962f75dbffa06fda4217e5f439c08786a5e4f27d830326d19b52bbb3d0c,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/ibm-zen-operator,1.7.2-ppc64le,sha256:9502a48d6ea15768eac59f744e15bb84c6ce03b89cc504e647de927b4b9ce70e,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/ibm-zen-operator,1.7.2-s390x,sha256:68db5c6a20471b4f0696630783c61982e3c9710ac2eafdd98fc66fe9322b55c6,IMAGE,linux,s390x,"",0,CASE,"",""
